team_id,season,T_j_hat,roster_n,draftees
11,2014,0.18394660687617606,4,0
11,2018,0.049648634977657105,5,0
12,2011,0.047365712032891895,13,2
12,2012,-0.03801563825913626,11,2
12,2013,0.39362892682359024,10,3
12,2014,0.1116933339191488,13,3
12,2015,0.18680454884432068,13,2
12,2016,0.4349229295876957,12,1
12,2017,-0.10874983558854674,11,2
12,2018,0.12841595515208348,11,1
12,2019,0.12138562304614356,11,0
12,2020,0.33883589455410457,11,3
12,2021,0.2575606417679196,11,0
13,2011,-0.4210738629221779,13,0
13,2012,0.03473998157747907,12,0
13,2013,0.03958783960723422,11,0
13,2014,-0.05876010734426376,13,0
13,2015,-0.31130847411257323,11,0
13,2016,-0.037537249181364335,12,0
13,2017,-0.23316835983030224,14,0
13,2018,-0.15418488192504531,12,0
13,2019,-0.1509371927024015,11,0
13,2020,-0.019017411941983805,14,0
13,2021,-0.13474583812754012,12,0
16,2011,-0.17969715432211747,11,0
16,2012,0.04078489988702749,11,0
16,2013,-0.0392475856308209,11,0
16,2014,-0.09040126110815971,14,0
16,2015,0.09949764269063893,11,0
16,2016,-0.0681444130687593,12,0
16,2017,-0.013228046261688739,12,0
16,2018,-0.234681107569947,12,0
16,2019,0.2386026109528356,12,0
16,2020,-0.37213715524718044,13,0
16,2021,-0.01801976806392867,13,0
21,2011,0.26689877378672405,12,2
21,2012,0.14365547026985165,10,2
21,2013,0.2701379618436573,11,2
21,2014,-0.01985284040964723,11,1
21,2015,-0.05541206214511188,12,0
21,2016,-0.08554231508005145,11,0
21,2017,-0.08233750047764392,11,0
21,2018,0.33228941801228856,12,1
21,2019,-0.03436965920265999,12,1
21,2020,0.18964051144428246,13,1
21,2021,0.4711246352046003,12,0
22,2011,-0.27300853752466187,4,0
22,2014,0.17321986267839326,5,0
22,2015,-0.11174343426958329,10,0
22,2017,-0.1780136338426524,4,0
22,2018,0.2614496487162495,6,0
22,2020,-1.1026772529230084,4,0
23,2011,-0.18250847278907684,11,0
23,2012,-0.09058047095279104,13,0
23,2013,0.04152726914941191,14,0
23,2014,-0.0989319337340278,10,0
23,2015,-0.4720856911418651,15,0
23,2016,0.17610923846224188,11,1
23,2017,0.05170240507444622,13,1
23,2018,-0.4002301035157468,13,0
23,2019,-0.2333707530391817,13,0
23,2020,0.04767810582902565,14,0
23,2021,-0.16158460661378582,14,0
24,2011,-0.014038127862364413,14,3
24,2012,0.06133857130316417,16,3
24,2013,0.055920207823587816,13,3
24,2014,-0.204421727345065,12,3
24,2015,-0.17342757349842738,12,1
24,2016,-0.0800375382303249,11,0
24,2017,-0.1900256653032549,12,0
24,2018,-0.0842012492583844,12,1
24,2019,0.09237838916068723,12,1
24,2020,-0.20907532133164577,12,1
24,2021,-0.05302695377037644,12,1
25,2011,0.04662551830787648,12,1
25,2012,0.15277000608158323,12,1
25,2013,-0.1930552147356799,11,2
25,2014,-0.10080583432523596,13,2
25,2015,-0.060179769388130966,10,2
25,2016,-0.16507895007060364,11,4
25,2017,-0.10225797564982911,13,2
25,2018,-0.36101612756766516,12,0
25,2019,-0.09006358534285666,10,0
25,2020,-0.23634236025496091,12,0
25,2021,-0.15606232800131223,13,0
26,2011,0.05537268156036896,9,2
26,2012,0.1254121787340437,12,1
26,2013,0.590533640599126,9,4
26,2014,0.3582413527907097,11,4
26,2015,-0.17799563362906862,11,3
26,2016,0.0024966389788968766,10,2
26,2017,0.32462595359367286,11,5
26,2018,0.3202279288320765,10,3
26,2019,0.146918040145361,11,1
26,2020,0.11041513222814223,11,0
26,2021,0.027045019029160372,12,0
27,2011,-0.1409571615116517,10,0
27,2012,-0.3299432984824744,11,0
27,2013,-0.22612685166828533,13,0
27,2014,-0.1009380553293703,11,0
27,2015,-0.22251178017555162,13,0
27,2016,-0.013514020444326957,12,0
27,2017,-0.2467744673828481,12,0
27,2018,-0.20262892111943104,15,0
27,2019,-0.07496502576018992,13,0
27,2020,0.006521326358526851,12,0
27,2021,0.018487762070347944,11,0
28,2015,-1.4151172564962198,4,0
28,2016,0.14405338056212333,4,0
28,2021,0.17693166257824397,14,0
29,2011,-0.3250419179102711,3,0
29,2012,-0.47325201208763323,4,0
29,2020,-0.5991643626712166,5,0
30,2011,0.2069403892524485,8,1
30,2012,-0.6050401175866768,11,0
30,2013,-0.14372082436316624,13,0
30,2014,0.10093285173027709,12,0
30,2015,0.019166514577200592,11,0
30,2016,0.36588059772258963,11,1
30,2017,0.3034968363604617,11,2
30,2018,0.1767568367620731,12,1
30,2019,0.1346459714985733,10,1
30,2020,0.08927157623077675,10,1
30,2021,0.23759830345465313,11,1
36,2011,0.16080416049769122,12,0
